Student_ID,First_Name,Last_Name,Email,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Total_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S5290,Omar,Jones,student4290@university.com,Male,19,Engineering,80.33,52.07,71.02,75.28,70.93,2.52,54.36,82.7,A,12.9,No,Yes,High School,Medium,5,6.6
S1818,Maria,Johnson,student818@university.com,Female,18,Business,60.76,82.85,72.17,83.8,89.68,6.88,82.76,80.57,F,27.7,Yes,Yes,High School,Low,7,5.1
S2759,John,Jones,student1759@university.com,Male,24,Mathematics,59.34,45.91,58.27,,57.37,1.81,73.0,79.9,D,11.2,No,Yes,,Low,4,4.1
S2906,Ahmed,Jones,student1906@university.com,Female,23,Engineering,74.75,90.38,60.17,63.83,78.0,8.51,63.52,98.2,D,20.4,No,Yes,,Medium,5,4.2
S5529,Ahmed,Jones,student4529@university.com,Female,22,CS,,50.57,74.17,91.18,66.23,3.69,74.06,71.35,D,7.5,No,Yes,Master's,Medium,9,7.7
S5156,Sara,Johnson,student4156@university.com,Female,21,Business,78.3,41.86,47.16,92.71,90.36,1.4,80.33,90.76,C,26.7,No,Yes,,Medium,8,4.6
S4631,Ali,Davis,student3631@university.com,Female,22,Business,89.8,54.62,44.06,68.06,91.58,9.75,96.78,99.26,B,14.3,No,Yes,,Low,2,5.3
S5244,Liam,Jones,student4244@university.com,Male,22,Business,74.14,85.7,63.07,,84.48,9.05,99.97,60.23,F,28.2,Yes,Yes,,Low,10,6.1
S1914,Maria,Jones,student914@university.com,Female,21,CS,90.07,78.42,68.04,98.32,77.75,9.93,57.0,52.21,B,21.7,No,Yes,,Low,10,5.6
S5353,Liam,Johnson,student4353@university.com,Male,22,Engineering,83.64,43.93,40.72,,97.49,1.27,77.75,85.65,F,9.5,Yes,Yes,PhD,Low,2,8.2
S3445,Ahmed,Brown,student2445@university.com,Female,20,Business,98.32,79.2,74.78,96.64,57.27,6.28,85.72,69.24,B,6.7,No,Yes,,Medium,3,7.1
S2031,Liam,Jones,student1031@university.com,Male,21,Engineering,89.12,42.88,94.44,90.89,95.96,7.59,56.12,58.86,B,11.7,No,No,PhD,High,5,4.5
S2447,Liam,Smith,student1447@university.com,Female,22,CS,85.56,86.85,89.55,77.4,55.44,1.36,52.48,87.69,A,13.9,Yes,Yes,PhD,Low,2,8.6
S4103,Emma,Jones,student3103@university.com,Female,23,CS,77.3,43.59,74.37,89.23,53.95,2.91,95.62,63.03,F,10.9,No,Yes,Bachelor's,Low,9,8.9
S3473,Maria,Davis,student2473@university.com,Female,19,CS,66.54,84.25,99.58,66.77,82.81,3.69,75.92,72.39,A,12.8,Yes,Yes,Master's,Medium,5,8.2
S3456,John,Jones,student2456@university.com,Female,18,Mathematics,,98.67,72.3,79.34,96.81,2.54,67.62,96.23,C,24.1,No,Yes,Bachelor's,High,1,8.3
S3541,Ali,Davis,student2541@university.com,Male,20,Engineering,89.39,81.21,50.84,68.7,84.0,9.79,71.1,50.42,A,9.3,Yes,Yes,,Medium,8,8.3
S2272,John,Jones,student1272@university.com,Male,24,Engineering,74.0,92.06,64.71,63.92,63.86,4.4,93.05,61.28,F,6.2,No,Yes,,Low,3,5.6
S2044,Emma,Jones,student1044@university.com,Male,22,Engineering,65.96,66.05,58.74,80.24,59.39,7.86,85.27,94.59,B,9.5,Yes,Yes,Bachelor's,Medium,1,5.8
S2960,Sara,Johnson,student1960@university.com,Female,18,Engineering,64.3,44.65,52.26,64.18,80.57,0.45,64.7,96.16,C,18.1,Yes,No,PhD,Low,2,5.1
S2958,Ahmed,Smith,student1958@university.com,Female,21,CS,51.9,49.72,94.18,57.88,86.47,5.69,94.92,80.09,D,10.3,Yes,Yes,Bachelor's,Low,3,7.2
S3937,Ahmed,Williams,student2937@university.com,Male,23,CS,72.77,98.72,94.06,,74.83,2.3,69.22,81.55,F,5.5,No,Yes,,Medium,9,4.1
S3459,Sara,Davis,student2459@university.com,Male,18,Engineering,54.58,59.89,78.6,88.61,70.61,7.06,99.37,79.02,D,15.2,No,Yes,Master's,Medium,9,7.0
S2817,Omar,Johnson,student1817@university.com,Male,20,Engineering,94.08,52.14,82.73,53.68,52.84,4.96,57.06,99.16,B,12.5,Yes,Yes,PhD,High,1,4.9
S4997,Sara,Davis,student3997@university.com,Male,20,Mathematics,,96.73,74.36,74.32,87.15,9.57,61.04,55.24,A,23.6,No,Yes,,Low,10,5.3
S2662,Maria,Davis,student1662@university.com,Male,21,CS,65.9,76.75,44.16,82.6,65.96,7.12,50.77,76.87,F,5.9,Yes,No,,Low,4,8.8
S3420,Ali,Davis,student2420@university.com,Female,21,Engineering,91.57,99.3,84.71,83.92,83.79,1.73,52.3,91.92,A,27.2,No,Yes,Bachelor's,High,8,5.7
S3329,Sara,Davis,student2329@university.com,Female,18,CS,74.51,49.89,48.89,63.99,54.34,7.55,86.49,98.05,C,29.1,Yes,Yes,,Medium,6,7.1
S4327,Omar,Brown,student3327@university.com,Female,19,CS,50.54,86.22,75.88,99.59,82.14,8.51,53.49,86.71,C,15.1,Yes,Yes,High School,Medium,6,6.0
S2527,Ali,Davis,student1527@university.com,Female,20,CS,64.7,94.99,48.14,90.36,51.57,5.57,75.9,69.52,F,28.3,No,Yes,,Medium,9,8.5
S5997,John,Brown,student4997@university.com,Female,24,CS,87.54,63.55,64.21,94.28,50.19,3.13,82.65,54.25,A,24.8,Yes,No,High School,Medium,4,6.3
S4766,Liam,Johnson,student3766@university.com,Male,23,Mathematics,78.73,72.21,68.03,59.79,58.07,4.22,76.65,72.13,D,7.0,No,Yes,,Medium,10,8.0
S3502,Ali,Brown,student2502@university.com,Male,20,Mathematics,51.53,63.85,83.02,50.0,52.36,8.24,93.55,59.89,C,26.7,No,Yes,Bachelor's,Low,4,5.5
S5363,Ahmed,Brown,student4363@university.com,Female,18,CS,,58.93,80.15,72.97,61.93,9.71,95.22,56.3,B,6.8,Yes,Yes,PhD,Medium,1,5.2
S2780,Emma,Smith,student1780@university.com,Female,24,CS,93.82,84.1,60.71,71.0,70.43,6.11,87.01,96.14,B,19.5,No,Yes,High School,Low,10,6.8
S2601,Omar,Jones,student1601@university.com,Male,23,CS,85.71,96.5,88.46,78.66,59.05,1.13,93.31,56.28,B,22.7,Yes,Yes,Bachelor's,Low,9,4.3
S4657,Maria,Brown,student3657@university.com,Female,19,CS,88.26,51.83,99.98,99.32,84.91,3.3,73.15,91.35,A,20.3,Yes,Yes,,Low,3,4.9
S3560,Emma,Smith,student2560@university.com,Female,19,CS,94.31,54.05,62.44,52.3,57.44,7.48,55.31,94.33,A,16.4,No,Yes,High School,Low,4,4.8
S1337,John,Brown,student337@university.com,Female,23,CS,88.16,50.51,65.35,52.45,58.43,8.95,56.03,84.63,A,24.3,No,Yes,High School,High,8,4.2
S2841,Emma,Johnson,student1841@university.com,Female,18,Engineering,87.56,48.71,42.57,63.05,54.41,0.29,68.07,77.69,A,12.1,No,No,Master's,Low,9,6.2
S1172,John,Williams,student172@university.com,Male,18,Business,72.96,77.82,60.34,,74.53,7.4,61.54,82.85,F,7.3,No,Yes,Bachelor's,Medium,2,5.5
S4772,Liam,Johnson,student3772@university.com,Female,23,CS,52.34,83.62,84.87,73.18,88.23,3.19,61.31,86.72,C,18.8,No,No,,Medium,3,6.8
S2193,Liam,Davis,student1193@university.com,Female,21,Engineering,69.84,78.66,71.25,,89.68,6.78,88.92,66.58,F,8.4,No,Yes,PhD,Medium,8,4.6
S2709,Emma,Davis,student1709@university.com,Female,22,CS,56.49,96.34,91.44,91.23,73.56,2.06,71.57,81.79,D,13.1,No,Yes,High School,Medium,7,6.5
S2278,Ahmed,Johnson,student1278@university.com,Male,22,CS,96.04,54.85,93.48,84.96,65.1,9.94,83.52,73.33,A,16.6,No,Yes,High School,Medium,7,4.1
S1760,Maria,Smith,student760@university.com,Female,23,CS,64.73,57.52,46.05,90.76,75.77,6.57,94.13,87.88,D,23.9,No,Yes,High School,Medium,9,7.4
S1391,John,Johnson,student391@university.com,Female,21,Business,66.79,58.93,70.04,51.44,77.27,1.86,72.83,68.05,C,24.5,No,Yes,,Low,7,4.5
S2694,Ahmed,Williams,student1694@university.com,Female,20,CS,63.46,65.66,84.76,68.37,51.25,3.14,82.94,60.39,C,22.3,Yes,Yes,,Medium,2,7.4
S2131,Sara,Johnson,student1131@university.com,Female,22,CS,69.66,46.42,85.03,79.56,79.86,3.19,66.83,99.15,A,18.2,Yes,Yes,,Low,4,6.4
S1429,Maria,Brown,student429@university.com,Male,23,CS,,53.13,93.32,86.27,97.2,6.69,85.61,88.58,F,17.5,No,Yes,,Medium,7,4.9
S5002,John,Jones,student4002@university.com,Female,20,CS,61.4,68.66,91.0,96.47,73.07,7.14,53.52,86.57,D,10.3,No,Yes,Bachelor's,Low,3,7.5
S1528,Sara,Johnson,student528@university.com,Female,18,Business,59.66,85.06,60.95,69.53,65.56,4.55,64.36,88.89,F,7.5,Yes,Yes,,Medium,5,4.1
S5725,John,Brown,student4725@university.com,Male,19,Business,64.45,67.36,42.16,59.21,80.36,4.69,56.67,78.78,C,25.6,No,Yes,Master's,Low,9,6.9
S5152,John,Smith,student4152@university.com,Male,22,Business,79.08,88.0,52.83,75.74,57.3,6.11,51.49,98.9,A,29.3,No,Yes,PhD,Low,5,7.5
S4413,Liam,Smith,student3413@university.com,Female,22,Engineering,56.63,67.99,49.25,81.12,84.22,5.5,68.57,83.33,F,19.7,Yes,Yes,High School,Low,5,6.7
S4959,Liam,Jones,student3959@university.com,Female,18,Engineering,98.62,68.96,46.87,89.5,70.44,4.99,53.17,74.35,A,27.9,No,Yes,PhD,Medium,6,4.6
S2268,Ahmed,Jones,student1268@university.com,Female,19,CS,96.09,92.19,54.13,76.46,98.33,6.75,64.07,69.16,A,19.6,No,Yes,Master's,Medium,2,4.3
S1861,Ali,Davis,student861@university.com,Female,23,CS,89.02,77.44,54.45,67.58,61.94,4.4,54.84,64.64,B,24.8,No,Yes,,Low,5,7.5
S2825,Ahmed,Jones,student1825@university.com,Female,18,Engineering,96.72,95.79,83.71,67.17,74.21,3.36,79.13,73.59,A,5.8,No,Yes,Bachelor's,Medium,10,4.4
S1006,Ahmed,Jones,student6@university.com,Male,24,Business,57.6,66.26,89.07,84.52,98.4,2.3,93.65,83.21,F,21.3,No,Yes,,Low,5,6.4
S5015,Emma,Williams,student4015@university.com,Male,19,CS,64.76,63.42,43.99,91.8,92.73,9.96,52.42,72.97,F,13.2,Yes,Yes,Master's,Medium,10,4.5
S5421,John,Davis,student4421@university.com,Female,18,Mathematics,,94.19,53.1,63.58,82.32,5.1,95.44,93.19,F,17.4,No,Yes,,Low,10,7.1
S4812,Sara,Smith,student3812@university.com,Male,21,CS,78.98,52.88,98.27,59.86,91.49,2.33,51.7,59.4,F,21.2,No,Yes,PhD,Medium,1,5.5
S2381,Maria,Williams,student1381@university.com,Male,22,Engineering,69.58,98.55,45.61,76.35,91.57,1.91,67.45,59.08,F,11.2,No,Yes,,Low,5,7.6
S5622,Ali,Johnson,student4622@university.com,Female,19,Business,90.56,76.01,74.54,86.63,88.35,0.63,85.64,69.68,A,5.6,No,Yes,High School,High,10,5.8
S5213,Ahmed,Brown,student4213@university.com,Male,22,CS,91.7,55.36,86.81,,57.35,8.79,55.84,77.26,B,18.7,No,Yes,,Low,8,5.0
S5083,Ali,Davis,student4083@university.com,Male,21,Mathematics,,92.24,99.93,83.27,75.69,8.17,87.04,81.4,C,14.1,No,Yes,Bachelor's,Low,5,7.4
S2021,Ali,Davis,student1021@university.com,Female,24,CS,80.3,45.1,76.29,83.42,65.23,4.45,93.5,50.22,C,21.1,Yes,Yes,Bachelor's,Medium,5,7.4
S2639,Sara,Davis,student1639@university.com,Male,18,Engineering,57.6,58.18,76.87,56.72,77.62,6.26,98.48,86.68,C,25.4,Yes,Yes,,High,2,8.9
S3188,Sara,Smith,student2188@university.com,Female,24,CS,97.5,94.55,98.43,61.06,73.84,8.37,86.39,89.06,A,14.5,No,Yes,,Medium,3,5.7
S5932,Ahmed,Brown,student4932@university.com,Female,20,CS,78.13,85.74,43.1,,76.25,4.79,86.39,97.17,D,22.5,No,Yes,Bachelor's,Low,10,4.5
S1017,Liam,Davis,student17@university.com,Female,23,Business,80.22,63.42,76.6,81.46,82.25,7.65,64.18,55.25,F,6.2,No,No,PhD,Medium,10,7.6
S2200,Ahmed,Brown,student1200@university.com,Male,21,Engineering,,41.26,73.14,81.82,50.91,6.27,99.43,56.79,B,18.8,No,Yes,,Low,9,6.8
S5201,Emma,Jones,student4201@university.com,Female,20,Engineering,,48.25,74.92,84.7,55.36,1.56,52.61,76.2,B,22.6,No,Yes,Bachelor's,High,5,7.1
S2503,John,Williams,student1503@university.com,Male,19,Business,57.21,45.13,42.35,80.31,58.6,0.21,83.59,88.88,D,29.7,No,Yes,Master's,Medium,10,5.7
S3921,Liam,Davis,student2921@university.com,Female,18,Engineering,59.46,64.0,98.8,50.0,96.21,2.59,98.14,53.26,D,27.5,Yes,No,Master's,Medium,5,7.6
S3184,Ahmed,Davis,student2184@university.com,Female,21,CS,67.29,59.16,54.07,96.82,63.24,5.17,91.98,68.37,C,22.4,Yes,Yes,PhD,Low,4,4.7
S1706,Maria,Johnson,student706@university.com,Female,20,Engineering,81.09,82.98,91.29,54.43,65.07,7.6,75.39,68.17,F,21.1,No,Yes,,High,10,8.7
S4364,Liam,Johnson,student3364@university.com,Male,21,Engineering,78.6,73.4,63.23,59.92,77.83,3.45,74.43,57.82,D,15.8,No,Yes,PhD,Medium,1,9.0
S1065,Sara,Williams,student65@university.com,Female,24,Business,50.86,55.42,87.84,60.82,90.62,9.29,53.87,51.42,F,14.9,No,No,Master's,High,10,6.9
